0,customer_license_num,CC_number,from_date,to_date,insurance(Y/N),body,employee
1,1111,12121212,12.12.2018,20.12.2018,True,SUV,jon
2,2222,23232323,10.12.2018,12.12.2018,False,SUV,jon
3,3333,34343434,10.12.2018,12.12.2018,False,Hatchback,jon
4,4444,45454545,12.12.2018,20.12.2018,True,SUV,jon
5,800008,56565656,10.12.2018,12.12.2018,False,SUV,jon
6,6666,67676767,12.12.2018,20.12.2018,True,SUV,jon
7,7777,,10.12.2018,12.12.2018,False,SUV,jon
8,8888,4444666633332222,12.12.2018,20.12.2018,True,SUV,jon
9,9999,213123123213,10.12.2018,12.12.2018,False,SUV,jon
10,10101010,4444666633332222,12.12.2018,20.12.2018,True,SUV,jon
